tweet_text,,Sentiment,Score
Alia performance gangubai Movie is Osm Gangubai movie story is Osm Other actress Acting this Movie is Osm Sanjay leela Direction This Movie is Osm Gangubai movie Screen play is Osm Devgn and Vijayraaz Acting this Movie is Osm Overall Very Osm Movie Gangubai🙏🙏,,positive,0.96129179
"It was Alia Bhatt all the way, she stole the show from the first scene, Vijay Raaz was excellent and so was Ajay Devgan. Some scenes were spectacular especially enrolling the kids to nearby school and asking for the name of the father. The set was simply captivating and SLB did a good job in creating a set of Kamatipura. The Qawalli featuring Huma Qureshi was a good song with nice lyrics. Dialogues were very well written and we should not forget Jim Sarbh as generalist , very well acted in his small role . Very entertaining movie and entire cast and crew did a great job in making the movie. Nice to hear Shreya Ghosal after a long time. Evryone involved in the movie deserves an applause.",,positive,0.999950409
"This is one of those Bollywood movies, where an anti-hero is glorified and his illegitimate actions justified.

Alia is such a misfit to play the role, story has nothing new to offer, we've seen such sex-worker stories before in Bollywood... just too mediocre and repetitive.",,neutral,0.526948035
SLB usually delivers opulent films that are a treat for the eye. This was dull and I'm afraid Alia isn't a natural actress. I was distracted by the fact she looked like a child throughout. She doesn't have the skills to carry this off. I'm afraid this is a waste of time and money. Don't bother.,,negative,0.00202097
"Such a great storyline deserved better. Role of gangubai deserved someone like Sweta Tripathi, Radhika Apte or Samantha Ruth Prabhu.

When will we stop adoring these familial typical Bollywood starlet productions.

Waste of time this was.",,positive,0.728813648
"Loved the movie.

Superb Acting by all.

Alia Bhatt did a fantastic job.

Music was good.

The story was presented beautifully.

This movie was directed nicely.

Ajay Devgan played his role perfectly.",,positive,0.967986166
This movie is openly supporting a criminal by twisting things. Gangubai was no saint or a 'poor innocent victim' Gangubai kothewali was a criminal and used to be a don of red light area. Bollywood has reached lowest limit of whitwashing criminals. Pathetic.,,negative,0.161936611
"SLB must be the worst choice of filmmaker to make a movie on the gritty and sleazy underbelly of prostitution in Mumbai. A guy who is famous for the exceedingly lavish and pompous settings for his movies rather than any directorial abilities shouldn't be allowed near such topics with a barge-pole. The real individual on whom this movie is made was a non-glamourous, jaded prostitute/lady don in Mumbai's rather infamous Kamathipura. Bhansali has tried hard to glamourize the titular character by having her dance, pose and mouth flamboyant dialogues. Basically yet another poor attempt to make criminals look glamourous and fashionable.",,negative,0.098910823
"Following things i disliked 1. Over acting by main actors.

2. Same story of poor person becomes Don. It getting bored now of such stories now 3. Movie not in flow feels like disconnected.",,negative,0.02172753
Gangubai Movie is Powerfull Movie This Year Gangubai Movie Dialogue is Powerfull Dialogue in Movie Alia acting is Ver well This Movie Sanjay leela Direction and Screen play is Very Osm Ajay Role is Osm Vijay raaj acting is Osm Another actress and actor role is Osm and powerfull Movie Gangubai Movie I am watching Gangubai movie❤❤❤❤,,positive,0.916465521
Alia acting this Movie is Superb Ajay sir And Vijayraaz Acting is Superb Sanjay leela Direction is Superb Overall Movie is Superb Watch Now This Movie in Theatre🙏🙏🙏🙏,,positive,0.663564801
This is sooo boring then SADAK 2...!!! I want my time and money back...what rubbish did i wasted my money on!! No acting..no storyline...no good songs..nothing..like literally everything looks so weird and odd in the movies...Alia looks like a child...why anyone thought she would suit for this role...utter disappointment!!!This is sooo boring then SADAK 2...!!! I want my time and money back...what rubbish did i wasted my money on!! No acting..no storyline...no good songs..nothing..like literally everything looks so weird and odd in the movies.,,negative,1.15E-05
"What's Good- This one is to step out from our regular world to face the harsh realities of life. This movie is one kind of rude, however necessary awakening.

I am amazed by background score and songs, especially by Shreya Ghoshal and Neeti Mohan ones. Just mesmerising!

The direction is very good and it virtually gets you in the ally of Kamathipura.

Better could be climax that could have been shorter which sounds lengthier.",,positive,0.834580064
"Wonderful acting by Alia Bhatt. She showed she is the best of her generation as always. She has been contributed to Gangubai completely. She has proved she is one of the best bollywood actresses in this movie just like Raazi highway udta panjab and dear zindagi.

So sorry for haters😂😂 they are such a poor guys they have been rating bad gangubai before it goes on screen. But again Alia shut their mouth with her amazing acting. Pour the water where it burns haters😂😂 Alia proved she is very talented and you talentless guys can do nothing to her carrer.",,negative,0.01926085
